20230113 17:10:10.324 [Test worker] INFO  [SpringBootTestContextBootstrapper:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.jsol.api.entity.site.SiteQuerydslRepositoryTest], using SpringBootContextLoader 
20230113 17:10:10.327 [Test worker] INFO  [AbstractContextLoader:264] - Could not detect default resource locations for test class [kr.co.jsol.api.entity.site.SiteQuerydslRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
20230113 17:10:10.328 [Test worker] INFO  [AnnotationConfigContextLoaderUtils:83] - Could not detect default configuration classes for test class [kr.co.jsol.api.entity.site.SiteQuerydslRepositoryTest]: SiteQuerydslRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
20230113 17:10:10.369 [Test worker] INFO  [SpringBootTestContextBootstrapper:238] - Found @SpringBootConfiguration kr.co.jsol.ApiApplication for test class kr.co.jsol.api.entity.site.SiteQuerydslRepositoryTest 
20230113 17:10:10.402 [Test worker] INFO  [SpringBootTestContextBootstrapper:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
20230113 17:10:10.408 [Test worker] INFO  [SpringBootTestContextBootstrapper:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@30b34287, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5489c777, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3676ac27, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@62f87c44, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@48f5bde6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@525d79f0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5149f008, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7072bc39, org.springframework.test.context.event.EventPublishingTestExecutionListener@158d255c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2ca65ce4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@327120c8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5707c1cb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2b5cb9b2, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@35038141, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@ecf9049] 
20230113 17:10:10.748 [Test worker] INFO  [SiteQuerydslRepositoryTest:55] - Starting SiteQuerydslRepositoryTest using Java 17.0.5 on iseongbog-ui-MacBookAir.local with PID 7238 (started by ? in /Users/leeseongbok/workspace/Github/sf_viewer/api) 
20230113 17:10:10.749 [Test worker] INFO  [SiteQuerydslRepositoryTest:640] - The following 1 profile is active: "dev" 
20230113 17:10:10.753 [background-preinit] INFO  [Version:21] - HV000001: Hibernate Validator 6.2.4.Final 
20230113 17:10:11.385 [Test worker] INFO  [RepositoryConfigurationDelegate:262] - Multiple Spring Data modules found, entering strict repository configuration mode 
20230113 17:10:11.385 [Test worker] INFO  [RepositoryConfigurationDelegate:132] - Bootstrapping Spring Data JDBC repositories in DEFAULT mode. 
